artist,hrsplayed,ranking,hrsplayedround
Higher Brothers,0.384428333,2,0.38
The Growlers,0.384333056,2,0.38
Cannibal Ox,0.384044167,6,0.38
Panda Bear,0.383906667,4,0.38
Destroyer,0.383493056,3,0.38
The Brian Jonestown Massacre,0.381798333,5,0.38
admo,0.380940278,2,0.38
Sunset Rollercoaster,0.3799775,2,0.38
6ix9ine,0.376881389,2,0.38
Bonjr,0.3767325,2,0.38
Refused,0.376034167,2,0.38
The Gaslamp Killer,0.373618889,2,0.37
Inner Wave,0.373424444,3,0.37
Melvins,0.373207778,7,0.37
Mogwai,0.369628056,5,0.37
Skinny Puppy,0.366334444,2,0.37
Dan Deacon,0.3638125,4,0.36
Strawberry Switchblade,0.362515,4,0.36
Laundrette,0.359495278,6,0.36
Red House Painters,0.359481389,2,0.36
And The Kids,0.359427222,2,0.36
The Dead Texan,0.359391944,3,0.36
Helvetia,0.356759444,2,0.36
Superorganism,0.355766667,5,0.36
The Frights,0.355092778,3,0.36
Black Dresses,0.3544125,2,0.35
Disq,0.351415556,2,0.35
Puzzle,0.35072,4,0.35
salvia palth,0.347526944,5,0.35
Photay,0.34737,3,0.35
DILLY DALLY,0.347285,4,0.35
???,0.346924722,2,0.35
Surfer Blood,0.346311111,2,0.35
Thee Silver Mountain Reveries,0.346311111,3,0.35
Death In June,0.345096111,2,0.35
Shygirl,0.34372,2,0.34
La Femme,0.343400278,3,0.34
Post Motel,0.339610833,2,0.34
DJ BORING,0.338965278,2,0.34
Parquet Courts,0.3378975,5,0.34
Mk.gee,0.337582778,2,0.34
Duke Ellington,0.337528611,5,0.34
Dälek,0.336275833,5,0.34
Andy Stott,0.334535,2,0.33
Sparks,0.333906944,3,0.33
Nickelus F,0.333338611,2,0.33
Lorde,0.331879167,3,0.33
TOPS,0.331027222,2,0.33
Lola's Pocket PC,0.329513611,4,0.33
the pillows,0.3261925,2,0.33
Ditch Days,0.325694444,2,0.33
Yanka,0.325453611,3,0.33
The Van Pelt,0.325021389,2,0.33
Attic Abasement,0.323536111,2,0.32
Nü Sensae,0.322072222,5,0.32
Fukkit,0.321686111,2,0.32
Astrobrite,0.317776389,2,0.32
Mr. Bungle,0.317740556,2,0.32
The Notorious B.I.G.,0.316594444,6,0.32
OTTO,0.315683056,2,0.32
Shadow Community ??? ???,0.315615278,2,0.32
Adolescents,0.315439722,6,0.32
Crippled Black Phoenix,0.314266389,2,0.31
Daniel Johnston,0.312773889,2,0.31
The Beach Boys,0.312430833,7,0.31
The Maccabees,0.311379444,4,0.31
$uicideboy$,0.308328056,3,0.31
Negative Gemini,0.3077275,4,0.31
Shakey Graves,0.307283056,2,0.31
Bright Eyes,0.3072275,5,0.31
Telyscopes,0.305895833,2,0.31
Gary Numan,0.302098889,6,0.3
Zach Hill,0.30067,7,0.3
K.Flay,0.299621667,4,0.3
Sugar Candy Mountain,0.2978975,6,0.3
The Fling,0.297233056,5,0.3
Action Bronson,0.296675556,5,0.3
Rush,0.295825,6,0.3
Led Zeppelin,0.295747778,7,0.3
Beck,0.293960833,5,0.29
Joni Mitchell,0.293234167,6,0.29
Mac DeMarco,0.292234722,4,0.29
Coldplay,0.290892222,3,0.29
Nothing,0.2895025,2,0.29
Rodríguez,0.289498611,4,0.29
Voxtrot,0.287873333,2,0.29
Deftones,0.286188611,5,0.29
Negative XP,0.285968889,2,0.29
Better Oblivion Community Center,0.285723611,2,0.29
Fever the Ghost,0.283193056,2,0.28
MorMor,0.2827925,2,0.28
Utro,0.28193,2,0.28
Holy Wave,0.281878611,2,0.28
The Flaming Lips,0.281549722,4,0.28
J. Cole,0.28025,5,0.28
Wu-Tang Clan,0.279264167,6,0.28
Joy Again,0.279207778,2,0.28
Automatic,0.278738889,2,0.28
Red Stars Theory,0.278365556,3,0.28
A House In The Trees,0.277633611,3,0.28
Iggy Pop,0.276226389,6,0.28
Purple Mountains,0.2753375,2,0.28
Ronald Shannon Jackson,0.2749725,2,0.27
Saint Motel,0.274448611,2,0.27
Exmilitary,0.273921944,2,0.27
Beat Happening,0.273211944,4,0.27
Katy Perry,0.273083611,4,0.27
Memo Boy,0.273046944,2,0.27
Planning For Burial,0.272595278,5,0.27
Tonstartssbandht,0.272423056,3,0.27
Lilac Boy,0.2719625,3,0.27
The Pistolas,0.2718175,3,0.27
Deeper,0.271372222,2,0.27
Young Jesus,0.271215278,2,0.27
Them Crooked Vultures,0.271096111,4,0.27
Young Thug,0.269169444,5,0.27
Swinging Riot,0.268998333,5,0.27
Motormark,0.2681325,2,0.27
Olivier Libaux,0.267714444,2,0.27
Big Pity,0.267125278,2,0.27
The Body,0.266775833,4,0.27
beabadoobee,0.266615556,4,0.27
31Knots,0.266171111,4,0.27
Metz,0.265116667,2,0.27
????(U ???),0.264636944,2,0.26
Happyness,0.262165,2,0.26
Died,0.261603333,2,0.26
Pinegrove,0.259365278,2,0.26
Glass Animals,0.258589167,3,0.26
Damaged Bug,0.258415833,2,0.26
Windows 96,0.2583125,2,0.26
Xmal Deutschland,0.257562778,2,0.26
Jockstrap,0.256923889,2,0.26
Lil Uzi Vert,0.2565775,3,0.26
Girlpool,0.255797222,2,0.26
Tourist,0.25453,4,0.25
Mouseatouille,0.253133333,2,0.25
The Clash,0.252854167,6,0.25
Star Moles,0.252303611,2,0.25
Chief Keef,0.2512275,3,0.25
Palehound,0.249291667,2,0.25
Caroline Rose,0.249237778,3,0.25
Fax Gang,0.247608056,2,0.25
Thieves Like Us,0.244910556,4,0.24
Mr Twin Sister,0.244558889,2,0.24
Lucy Dacus,0.244549444,2,0.24
Fleece,0.244096111,3,0.24
OOIOO,0.243110278,3,0.24
Xenia Rubinos,0.242569167,2,0.24
Russian Circles,0.242515,2,0.24
Moses Sumney,0.242405278,2,0.24
Gap Girls,0.242303611,2,0.24
MASS OF THE FERMENTING DREGS,0.242121667,2,0.24
SOPHIE,0.242098056,5,0.24
Molly Nilsson,0.240865,2,0.24
Doja Cat,0.240785556,3,0.24
Flake Music,0.240303333,2,0.24
Strawberry Hospital,0.239946667,2,0.24
Warpaint,0.239299722,5,0.24
Benny Benassi,0.238458333,5,0.24
Charly Bliss,0.238445278,2,0.24
Hooded Fang,0.238053333,2,0.24
Zebra Katz,0.237603056,2,0.24
Hello Mary,0.237106111,2,0.24
Deb Never,0.236927778,3,0.24
Miike Snow,0.2363925,4,0.24
Bauhaus,0.235863056,6,0.24
billy woods,0.235803333,2,0.24
Gouge Away,0.235604444,2,0.24
Jack Stauber,0.233938333,2,0.23
Lilys,0.233361944,2,0.23
Fleeting Joys,0.232618056,2,0.23
Indian Summer,0.231816389,2,0.23
Disclosure,0.2312875,3,0.23
Ovlov,0.230928611,3,0.23
LSDXOXO,0.230073333,2,0.23
PlayShoes,0.230068889,2,0.23
Ghostemane,0.229134167,4,0.23
Captain Beefheart & His Magic Band,0.228494722,5,0.23
Brennan Heart,0.228251667,4,0.23
CONNORPARTY,0.228165,2,0.23
Young Widows,0.227878333,2,0.23
Everything Everything,0.2273125,2,0.23
Saba,0.226240556,2,0.23
Coco & Clair Clair,0.226236111,2,0.23
Pram,0.2239575,2,0.22
Drab Majesty,0.223896667,4,0.22
Alain Gibert,0.223132778,2,0.22
Mickey Darling,0.222498333,2,0.22
Billy Talent,0.222457778,5,0.22
Shellac,0.221721667,5,0.22
Earth Dad,0.220866667,2,0.22
Cold War Kids,0.220479444,4,0.22
Ice Cube,0.220377222,5,0.22
The Church,0.219624167,2,0.22
Cowgirl Clue,0.219511389,2,0.22
Inevitable Daydream,0.219010278,2,0.22
Father John Misty,0.218479722,3,0.22
BigKlit,0.218133056,3,0.22
99jakes,0.218059722,2,0.22
Penguin Cafe Orchestra,0.21797,4,0.22
Pasteboard,0.215163889,2,0.22
Dan Mason ??·????,0.214761389,2,0.21
Conduits,0.214613056,3,0.21
Palm,0.214406667,4,0.21
Massive Attack,0.213703889,4,0.21
French Vanilla,0.212931667,2,0.21
Cibo Matto,0.212619167,2,0.21
Tierra Whack,0.211058611,3,0.21
Sleaford Mods,0.210055278,3,0.21
Salvapantallas,0.209565556,2,0.21
Acid Carousel,0.209531389,3,0.21
Vektroid,0.209321667,3,0.21
Freak Slug,0.209184722,3,0.21
Holy Fuck,0.208930556,2,0.21
Moondog,0.207531667,5,0.21
Heatmiser,0.205971111,5,0.21
Little Simz,0.205880278,2,0.21
Cayetana,0.205643056,2,0.21
The Kinks,0.205213056,6,0.21
Pink Siifu,0.20519,2,0.21
Low Hum,0.205070278,2,0.21
Princess Nokia,0.204954722,3,0.2
mitsume,0.204486944,3,0.2
Hum,0.204450833,2,0.2
Home,0.204422222,2,0.2
ICYTWAT,0.203987222,2,0.2
COUCOU CHLOE,0.203821111,2,0.2
Planet 1999,0.203238889,2,0.2
Danger Incorporated,0.202989167,2,0.2
Jimothy Lacoste,0.202568056,2,0.2
Battles,0.202414167,3,0.2
Danger Mouse,0.202224722,2,0.2
Johnny Goth,0.202040278,3,0.2
Hop Along,0.201908333,2,0.2
The Olivia Tremor Control,0.201574722,2,0.2
Shlohmo,0.201426944,4,0.2
Hibou,0.199878333,2,0.2
Mr. Gnome,0.199817222,2,0.2
Louis Hardin,0.199603889,2,0.2
Foam,0.199396667,5,0.2
Lunar Vacation,0.199331389,2,0.2
Mission Of Burma,0.198237778,5,0.2
King Geedorah,0.197895833,5,0.2
Shye Ben Tzur,0.1972,2,0.2
GRLwood,0.197166667,2,0.2
Death From Above 1979,0.196741944,5,0.2
Best Frenz,0.196068611,2,0.2
Pharmacist,0.194582222,2,0.19
Mothers,0.194503611,3,0.19
Dope Body,0.194390556,2,0.19
Gold Celeste,0.194285278,2,0.19
Beach Goons,0.194059444,3,0.19
The Symposium,0.194024722,2,0.19
Foghat,0.192846111,3,0.19
070 Shake,0.192323333,2,0.19
Flipper's Guitar,0.192026944,2,0.19
The Wytches,0.191215,3,0.19
Bad Religion,0.190341389,5,0.19
Ariana Grande,0.190341111,4,0.19
The Buttertones,0.190262778,4,0.19
Forest Swords,0.190198889,2,0.19
Yung Heazy,0.190163056,2,0.19
The Mars Volta,0.189913611,5,0.19
Busdriver,0.1896325,2,0.19
Lansing-Dreiden,0.188753611,2,0.19
Post Animal,0.188120556,3,0.19
Margaux,0.1876775,3,0.19
Avishai Cohen,0.18746,2,0.19
GAUCI,0.1872575,2,0.19
Black Wing,0.186996667,2,0.19
Jurassic Shark,0.186901667,2,0.19
Drop Nineteens,0.186808056,3,0.19
Farah,0.186731667,2,0.19
The Associates,0.186555556,2,0.19
American Football,0.1865525,5,0.19
Frankie Cosmos,0.186373611,2,0.19
Dean Blunt,0.185964444,2,0.19
Keane,0.185926111,3,0.19
BLEACH,0.185563056,2,0.19
Issam Hajali,0.185286111,2,0.19
Lady Lamb,0.184760278,2,0.18
Bedroom,0.184589722,3,0.18
Meatbodies,0.184532778,2,0.18
Pia Fraus,0.184488333,2,0.18
Soulja Boy,0.183571944,4,0.18
Brutus VIII,0.183413889,3,0.18
The Pastels,0.183149722,2,0.18
Deep Space Supergroop,0.183114722,2,0.18
Dirty Art Club,0.182603611,2,0.18
Mourn,0.182271667,3,0.18
Ride,0.180989444,2,0.18
Silver Jews,0.180846389,4,0.18
Antwon,0.180681944,2,0.18
Gulch,0.180619167,2,0.18
Van Morrison,0.180358333,5,0.18
Adventures,0.180221667,2,0.18
Bogdan Raczynski,0.179641111,2,0.18
Indigo De Souza,0.179069444,2,0.18
TOBACCO,0.179053056,2,0.18
Drug Store Romeos,0.177768056,2,0.18
Clipse,0.177038333,2,0.18
Boy Azooga,0.176548889,2,0.18
Remember Sports,0.176376667,2,0.18
Unaloon,0.176322222,2,0.18
Deakin,0.175372222,3,0.18
Mathématiques Modernes,0.174720556,2,0.17
fkbambam,0.174517778,2,0.17
Perturbator,0.174465,3,0.17
Slugbug,0.174223611,2,0.17
Tiefschwarz,0.173924444,2,0.17
Hong Kong Express,0.173754444,2,0.17
Fleetwood Mac,0.173488611,6,0.17
Candeias,0.173387778,2,0.17
Q And Not U,0.17334,4,0.17
Superchunk,0.173295278,5,0.17
Otoboke Beaver,0.173176667,5,0.17
Sun Kil Moon,0.172853333,5,0.17
Pastel Ghost,0.172391667,2,0.17
Normil Hawaiians,0.172253889,2,0.17
Matmos,0.172126667,2,0.17
TsuShiMaMiRe,0.172000278,3,0.17
Nouns,0.1719075,2,0.17
Jacques Greene,0.171483056,2,0.17
The Dead Weather,0.171171944,4,0.17
Hans Zimmer,0.171123056,4,0.17
Cypis,0.171099722,2,0.17
Jerkcurb,0.171026667,3,0.17
Stars Of The Lid,0.169463333,2,0.17
machinegum,0.169262778,2,0.17
The Veldt,0.169159167,2,0.17
IAN SWEET,0.168813611,2,0.17
Mura Masa,0.168468056,2,0.17
Divino Niño,0.168101944,2,0.17
Pig&Dan,0.16776,2,0.17
Cullen Omori,0.1677325,2,0.17
Meat Wave,0.167625833,2,0.17
Devil's Witches,0.167313889,2,0.17
Cloud Nothings,0.167213056,2,0.17
Mild High Club,0.166983889,3,0.17
Jay Worthy,0.166817778,2,0.17
Yung Lean,0.166733333,2,0.17
Calvin Harris,0.166280556,4,0.17
Genevieve Artadi,0.166235,2,0.17
Coaltar Of The Deepers,0.165936667,2,0.17
HMLTD,0.16576,2,0.17
FrankJavCee,0.165485,2,0.17
JJ DOOM,0.165321667,5,0.17
Kedama,0.164894444,4,0.16
Ceremony,0.164725833,6,0.16
Neptunian Maximalism,0.164469444,2,0.16
ORB,0.164168056,2,0.16
Nick Leng,0.163713889,2,0.16
The Unicorns,0.163574722,2,0.16
Deem Spencer,0.163451111,2,0.16
Django Django,0.163234722,3,0.16
Bedwetter,0.162868056,3,0.16
Free Kitten,0.162841389,2,0.16
Naked Giants,0.162331389,3,0.16
Roger Eno,0.162235,3,0.16
toe,0.162175278,2,0.16
Celestaphone,0.161959722,2,0.16
Babe Rainbow,0.161811111,2,0.16
Sky Ferreira,0.161781111,4,0.16
Mazzy Star,0.161688889,5,0.16
Jerry Paper,0.161631389,2,0.16
The Depreciation Guild,0.159725556,2,0.16
Marcos Balter,0.159446667,2,0.16
VR SEX,0.159008056,2,0.16
Skegss,0.15817,4,0.16
Yukari,0.157466667,2,0.16
Nice Legs,0.156936667,2,0.16
Frank Zappa,0.156854444,5,0.16
Smino,0.156795833,2,0.16
Giant Swan,0.156177222,3,0.16
Free Snacks,0.1560025,2,0.16
Galaxie 500,0.155925278,4,0.16
Thou,0.155923889,2,0.16
Matt Elliott,0.155848056,2,0.16
Redline Graffiti,0.155694444,2,0.16
ARTHUR,0.155265556,2,0.16
Pile,0.155188611,5,0.16
PYRMDPLAZA,0.155164167,2,0.16
Cursive,0.155003889,2,0.16
Love and Rockets,0.154643611,2,0.15
Coma Cinema,0.154182778,2,0.15
Butthole Surfers,0.153651944,6,0.15
PUP,0.153176111,4,0.15
Ximena Sariñana,0.152866667,2,0.15
?????,0.152648056,2,0.15
BLACKSTARKIDS,0.152461111,2,0.15
The Academic,0.1522875,2,0.15
R.A.P. Ferreira,0.152233333,3,0.15
Coyu,0.152075556,3,0.15
Porches,0.151898611,3,0.15
Scattle,0.151868889,2,0.15
"Daniel, Me Estás Matando",0.151842778,2,0.15
Pussy Riot,0.151703611,2,0.15
She Past Away,0.151599722,2,0.15
Luna Li,0.151343611,2,0.15
Kornél Kovács,0.151318056,2,0.15
COBRAH,0.151308611,2,0.15
Pulp,0.150130833,3,0.15
Sidney Gish,0.149194722,2,0.15
Videoclub,0.149141667,2,0.15
BRONCHO,0.149116389,3,0.15
Section 25,0.149088333,2,0.15
Porcupine Tree,0.148588889,5,0.15
Shinichiro Yokota,0.148248611,2,0.15
Code Orange,0.1480925,5,0.15
Number Girl,0.148055556,2,0.15
The Frogs,0.147843889,2,0.15
Great Grandpa,0.147661944,2,0.15
Kyuss,0.147491667,5,0.15
Connan Mockasin,0.147203889,2,0.15
Wild Nothing,0.146919167,2,0.15
BOBBY,0.146498056,2,0.15
Naomi Smalls,0.146210556,2,0.15
Beach Bums,0.146119444,3,0.15
Cult Of Luna,0.145966667,2,0.15
TOKiMONSTA,0.145723056,3,0.15
Matt Watson,0.145709167,3,0.15
Com Truise,0.145120833,2,0.15
Balue,0.145,2,0.15
Dinosaur Jr.,0.144066389,5,0.14
Chinese Football,0.144043889,5,0.14
Paul Anka,0.143939444,5,0.14
The Koreatown Oddity,0.143264444,2,0.14
6 Dogs,0.143255,2,0.14
Simon & Garfunkel,0.142981667,7,0.14
Balkans,0.142749722,2,0.14
Slow Hollows,0.142295,2,0.14
Carla dal Forno,0.142159722,2,0.14
Fleet Foxes,0.141475833,3,0.14
Étienne Daho,0.141362778,2,0.14
Touché Amoré,0.141273889,2,0.14
Kraftwerk,0.140175556,6,0.14
Jonathan Bree,0.139417778,2,0.14
Lorn,0.139306389,2,0.14
Them Are Us Too,0.139248611,2,0.14
The Beta Band,0.139051944,2,0.14
Drainpipe,0.1387125,2,0.14
Bibio,0.138651667,2,0.14
infinite bisous,0.138621111,2,0.14
ESG,0.138241944,2,0.14
Venetian Snares,0.138054444,3,0.14
X,0.137714444,4,0.14
Boyscott,0.137203333,2,0.14
The Bilinda Butchers,0.137158611,2,0.14
Aminé,0.136974722,4,0.14
Ulver,0.136751111,2,0.14
Battle Tapes,0.136678333,2,0.14
The Last Shadow Puppets,0.136515,2,0.14
Brdrml,0.136338333,2,0.14
ef,0.1362125,2,0.14
Kim Petras,0.136143056,2,0.14
Vapid,0.135691111,4,0.14
Matt and Kim,0.135677778,4,0.14
Slauson Malone,0.135516111,2,0.14
Mariah,0.135259167,2,0.14
The Count of Galveston,0.135214167,2,0.14
Hypoluxo,0.135149167,2,0.14
????,0.134456667,2,0.13
ScHoolboy Q,0.134448611,3,0.13
Alice In Chains,0.134183333,7,0.13
Sunscreen,0.133893889,2,0.13
Glüme,0.133816111,2,0.13
Tears For Fears,0.133453333,5,0.13
Cobra Man,0.133339444,2,0.13
No Trend,0.133233889,2,0.13
Adam the Shinobi,0.133045556,2,0.13
Bad Brains,0.132945,6,0.13
Sound of Ceres,0.132569167,7,0.13
The Japanese House,0.132160556,2,0.13
LVL UP,0.132001667,2,0.13
Lowlife,0.131493333,3,0.13
Dua Saleh,0.130897778,3,0.13
Jay Rock,0.130773889,3,0.13
Cough,0.130614722,3,0.13
Quelle Chris,0.130446389,2,0.13
Mcbaise,0.129961944,2,0.13
Crass,0.129954167,2,0.13
They Are Gutting a Body of Water,0.129588889,2,0.13
Grinderman,0.129444167,2,0.13
Beastie Boys,0.129368333,6,0.13
Hipnotica,0.129243889,2,0.13
Yvncc,0.129046944,2,0.13
Klaus Johann Grobe,0.128706944,2,0.13
Diemen Sniep,0.128534167,2,0.13
DAOKO,0.128039444,2,0.13
Kate Bush,0.128015,6,0.13
State Faults,0.127876389,2,0.13
Dj Smokey,0.127873611,2,0.13
Chris Liebing,0.127735278,2,0.13
Tempers,0.127633611,2,0.13
FIDLAR,0.127605278,6,0.13
Magazine,0.127433333,2,0.13
Father,0.127391389,2,0.13
Metalocalypse: Dethklok,0.127271389,5,0.13
Jefre Cantu-Ledesma,0.127140278,2,0.13
Dry Cleaning,0.1269875,2,0.13
Dsblade,0.126889722,2,0.13
Channel Tres,0.126809167,2,0.13
Skinshape,0.126739444,2,0.13
Billy Cobb,0.126631389,2,0.13
Bag Raiders,0.126535,3,0.13
The Apples In Stereo,0.126187778,3,0.13
Jonwayne,0.125807778,2,0.13
The Hellp,0.125710556,2,0.13
Eluvium,0.125681667,2,0.13
Dorian Electra,0.125510556,3,0.13
Silversun Pickups,0.125308611,4,0.13
Princess Chelsea,0.125175556,2,0.13
Amy Winehouse,0.125072222,5,0.13
Sleepy Dog,0.1249825,2,0.12
Modern Vices,0.124893889,2,0.12
THE ANXIETY,0.124669444,2,0.12
MadeinTYO,0.124592222,3,0.12
Mikadroid,0.124451667,2,0.12
Elevator Fight Club,0.124444444,2,0.12
William Onyeabor,0.124375,2,0.12
Saskwatch,0.124362778,2,0.12
Avril Lavigne,0.124299722,3,0.12
Clinic,0.124258889,3,0.12
WHY?,0.124242222,2,0.12
Virtual Self,0.123923333,2,0.12
The Cry,0.123572778,2,0.12
Alexia Gredy,0.12337,2,0.12
Sex Swing,0.123270278,2,0.12
Germs,0.123028889,4,0.12
Bohren & Der Club Of Gore,0.122879722,2,0.12
Claas Herrmann,0.122104167,2,0.12
Eats Everything,0.121866667,2,0.12
Alaska Y Dinarama,0.121534722,2,0.12
okaywill,0.121406944,2,0.12
Viktor Vaughn,0.121278611,2,0.12
Tytuus,0.121274444,2,0.12
The Claypool Lennon Delirium,0.121224167,2,0.12
The Magnetic Fields,0.120791667,3,0.12
BENEE,0.120780278,2,0.12
Oranssi Pazuzu,0.120762778,2,0.12
Frog,0.120653889,3,0.12
M83,0.120426944,3,0.12
Strawberry Guy,0.120320833,2,0.12
Shrimp,0.120163611,2,0.12
Auguste,0.119891111,2,0.12
Indios,0.119772778,2,0.12
22Gz,0.119536389,2,0.12
Doves,0.119419444,2,0.12
Rejoicer,0.119070278,2,0.12
Sweetest,0.118885833,2,0.12
Chris Keys,0.118882778,2,0.12
This Will Destroy You,0.118835278,2,0.12
Yung Bans,0.118711944,2,0.12
Jesu/Sun Kil Moon,0.118649722,3,0.12
Simon Kingsbury,0.118592222,2,0.12
Motorama,0.118256389,2,0.12
Teen Suicide,0.118196389,2,0.12
??????•?)?? ?? ??????? ??,0.118176111,2,0.12
levitation room,0.118081111,2,0.12
The Hit Parade,0.118022222,2,0.12
Bill Callahan,0.117795278,2,0.12
No Local,0.117694167,2,0.12
Carton Park,0.117636667,2,0.12
KennyHoopla,0.117216667,2,0.12
NNAMDÏ,0.11721,2,0.12
BB Brunes,0.117007222,2,0.12
Moby,0.116542778,4,0.12
Sisyphus,0.116435833,4,0.12
Juniore,0.116412778,2,0.12
Ben Vida,0.116183611,2,0.12
3OH!3,0.116150556,3,0.12
Kate NV,0.116036944,2,0.12
Luca Bocci,0.115763889,2,0.12
Perras on the beach,0.115720833,2,0.12
DJ Khaled,0.115716111,3,0.12
Haircuts for Men,0.115558333,2,0.12
Jerry Martin,0.115533056,2,0.12
Pan-Pot,0.115482778,2,0.12
Kurt Vile,0.115477778,3,0.12
Ana Frango Elétrico,0.115358056,2,0.12
Summer Salt,0.115204444,2,0.12
Caspian,0.114833333,2,0.11
Unown,0.114813056,4,0.11
Surf Rock Is Dead,0.114448056,3,0.11
Disheveled Cuss,0.114408056,2,0.11
The Aces,0.114381389,2,0.11
Delete Insert,0.114366667,2,0.11
Lil Gotit,0.114234444,2,0.11
Shoreline Mafia,0.11422,2,0.11
Daedelus,0.114203889,2,0.11
The Jesus Lizard,0.114189444,3,0.11
Phanosland,0.113969167,2,0.11
Caleb Landry Jones,0.113696111,2,0.11
Hot Sugar,0.113375,2,0.11
Kleenex,0.112923611,4,0.11
People Taking Pictures,0.112922222,2,0.11
OHYUNG,0.112569444,2,0.11
Hyperloop,0.1125625,2,0.11
Tirzah,0.112509444,2,0.11
Carsick Cars,0.112385,2,0.11
Lusine,0.112357222,2,0.11
Sleep,0.111676667,2,0.11
Dr. Lonnie Smith,0.111414722,2,0.11
Antena,0.111029722,2,0.11
Kevin & the Bikes,0.1109325,2,0.11
Trudy and the Romance,0.110827222,2,0.11
Greenwave Beth,0.110475,2,0.11
Le Tigre,0.110011667,3,0.11
Duchess Says,0.109942222,2,0.11
Joyhauser,0.109643056,2,0.11
Swim Mountain,0.109466111,4,0.11
Ed Harrison,0.109448056,5,0.11
wych elm,0.109338333,2,0.11
?????????? ????,0.109258333,2,0.11
Avey Tare,0.109221111,5,0.11
Four Tet,0.108998056,5,0.11
Wilco,0.108664722,5,0.11
ionnalee,0.108651667,2,0.11
Porridge Radio,0.108590833,2,0.11
Jack Tickner,0.108410278,2,0.11
Hombres G,0.108258889,2,0.11
Smokepurpp,0.108206111,3,0.11
Ningen Isu,0.107933889,4,0.11
Puma Blue,0.107720833,2,0.11
Rav,0.107703056,2,0.11
UNKLE,0.107210556,3,0.11
Weval,0.106940833,3,0.11
Sheer Mag,0.106911111,2,0.11
Acid King,0.106907222,3,0.11
The Slits,0.106408889,3,0.11
The Tea Street Band,0.106408889,2,0.11
Moor Mother,0.106407778,3,0.11
Craig Xen,0.106306944,2,0.11
Moodoïd,0.106232222,2,0.11
Lou Reed,0.106050833,6,0.11
JEFF The Brotherhood,0.105828056,2,0.11
In Death It Ends,0.105802222,2,0.11
Small Black,0.105667778,2,0.11
Cynthia Dall,0.105658889,2,0.11
Lil Darkie,0.105551944,2,0.11
Young Stoner Life,0.105418333,2,0.11
King Woman,0.105324722,2,0.11
Fox Academy,0.105309722,2,0.11
ODB,0.105251667,2,0.11
Ricky Nelson,0.105158056,3,0.11
Acetantina,0.105155278,3,0.11
Thinking Fellers Union Local 282,0.104946667,2,0.1
food house,0.104539722,2,0.1
MONO,0.104493333,3,0.1
1 800 PAIN,0.104441667,3,0.1
Stevie Dinner,0.104213333,3,0.1
Cold Hart,0.103803056,3,0.1
Acid Bath,0.103629444,2,0.1
T. Rexico,0.1036175,2,0.1
Jeff Rosenstock,0.10345,2,0.1
Gangpol & Mit,0.103336667,2,0.1
The xx,0.103203611,4,0.1
Gupi,0.102911111,2,0.1
C418,0.102660556,5,0.1
Rosa Yemen,0.102121944,2,0.1
CASTLEBEAT,0.101948889,2,0.1
XTC,0.101760833,6,0.1
S. Product,0.10166,2,0.1
Powerplant,0.101609722,2,0.1
OM,0.101588889,2,0.1
Suicide,0.101234167,2,0.1
Skrillex,0.101098056,2,0.1
DEMON QUEEN,0.100826111,2,0.1
The Dead Pirates,0.100752222,3,0.1
sir Was,0.100372222,2,0.1
Swain,0.100287222,3,0.1
Pere Ubu,0.100221944,2,0.1
Porter Robinson,0.100155278,2,0.1
Surf Mesa,0.100135833,2,0.1
Misfits,0.100044722,5,0.1
Anamanaguchi,0.099595556,2,0.1
Chong the Nomad,0.099556944,2,0.1
Sexy Girls,0.099548056,2,0.1
The Weeknd,0.099454722,5,0.1
Mudhoney,0.099448611,6,0.1
Mormon Toasterhead,0.099438889,2,0.1
Aron Edwards,0.0986975,2,0.1
Vanillaroma,0.098626944,2,0.1
GOOSE,0.098586667,2,0.1
Sevdaliza,0.098500833,2,0.1
ALASKALASKA,0.098300833,2,0.1
Night Beats,0.097881667,3,0.1
Mirèle,0.097777778,2,0.1
Mount Eerie,0.097438889,6,0.1
Rezzett,0.0971975,2,0.1
alt-J,0.096864167,5,0.1
Title Fight,0.0968425,5,0.1
Djo,0.096626389,2,0.1
BAMBARA,0.0964725,2,0.1
Blonde Tongues,0.096388889,2,0.1
The Postal Service,0.096214444,4,0.1
Black Moth Super Rainbow,0.096023333,3,0.1
Lots of Hands,0.095910833,3,0.1
Amen Dunes,0.095890833,2,0.1
Blank Banshee,0.09567,3,0.1
Meek Mill,0.095647222,4,0.1
Khruangbin,0.095249722,2,0.1
Travis Barker,0.095236667,4,0.1
Slipmatt,0.095116667,3,0.1
Saajtak,0.094963056,3,0.09
The Shivas,0.094725556,2,0.09
The Stranglers,0.094723333,2,0.09
IS TROPICAL,0.094715,3,0.09
Mild Minds,0.0946725,2,0.09
Teebs,0.094488333,2,0.09
Daniela Andrade,0.094451667,2,0.09
The Green Kingdom,0.094405,2,0.09
Dauwd,0.094315278,2,0.09
Flavia Cortez,0.09421,2,0.09
A Taste Of Honey,0.093925833,2,0.09
"Parks, Squares and Alleys",0.093872778,2,0.09
Seven Lions,0.093779167,2,0.09
Club Kuru,0.09351,2,0.09
Harry Nilsson,0.093401944,2,0.09
Claire Laffut,0.093160833,1,0.09
Prefab Sprout,0.093104722,1,0.09
3l3d3p,0.092973333,1,0.09
Jane's Addiction,0.092835278,6,0.09
Blac Chyna,0.092816111,1,0.09
